Global Company Key,Data Date,Data Year - Fiscal,Ticker Symbol,CUSIP,Company Name,Fiscal Year-end Month,Current Assets - Total,Assets - Total,Book Value Per Share,Cash,Cost of Goods Sold,Common Shares Outstanding,Debt in Current Liabilities - Total,Long-Term Debt - Total,Dividends - Total,Earnings Before Interest and Taxes,Employees,Gross Profit (Loss),Invested Capital - Total,Inventories - Total,Current Liabilities - Total,Liabilities - Total,Net Income (Loss),"Property, Plant and Equipment - Total (Gross)",Retained Earnings,Receivables - Total,Sales/Turnover (Net),Stockholders Equity - Parent,Interest and Related Expense - Total,Market Value - Total - Fiscal,Price Close - Annual - Fiscal,Standard Industry Classification Code 
10903,20191231,2019,UNH,91324P102,UNITEDHEALTH GROUP INC,12,42634,173889,60.7764,10985,184557,948,3870,36808,3932,19685,325,57598,98970,0,61782,111727,13839,13699,57600,21462,242155,57616,1704,278693.04,293.98,6324
10916,20191231,2019,UMBF,902788108,UMB FINANCIAL CORP,12,,26561.355,53.0865,472.958,224.837,49.098,1908.212,158.772,59.583,420.265,3.67,1064.825,2765.212,10.738,,23954.915,243.6,,1755.618,13329.934,1289.662,2606.44,,3370.0867,68.64,6020
10920,20191231,2019,UPS,911312106,UNITED PARCEL SERVICE INC,12,17103,57857,3.8139,5238,63584,856.6,3958,24209,3341,8150,495,10510,27492,511,15413,54574,4440,62583,3108,10206,74094,3267,744,100273.596,117.06,4210
10991,20191231,2019,SGMS,80874P109,SCIENTIFIC GAMES CORP,12,1615,7809,-23.5319,313,1284,94,71,8768,0,583,9.8,2116,6660,244,766,9917,-130,1601,-3246,822,3400,-2212,589,2517.32,26.78,3570
11032,20191231,2019,UHS,913903100,UNIVERSAL HEALTH SVCS INC,12,1915.934,11668.25,63.4801,61.268,9574.328,86.706,143.992,4166.653,53.003,1313.539,90.4,1803.931,9749.857,159.889,1563.39,6085.046,814.854,9432.895,5503.238,1560.847,11378.259,5504.105,166.568,12438.3656,143.46,8062
11060,20190331,2018,VFC,918204108,VF CORP,3,4673.457,10356.785,10.8323,543.011,6443.132,396.825,670.318,2115.884,767.061,2016.102,75,7405.528,6414.4,1943.03,2661.604,6058.269,1259.792,2591.938,277.526,1713.295,13848.66,4298.516,108.068,34488.0608,86.91,2320
11115,20190930,2019,VAR,92220P105,VARIAN MEDICAL SYSTEMS INC,9,2395.4,4101.7,19.4747,531.4,1773.7,90.8,410,0,0,499.6,10.062,1451.4,1777.6,551.5,1884,2324.1,291.9,785.8,831.9,1153.5,3225.1,1768.3,8.8,10813.372,119.09,3845
11220,20191231,2019,VNO,929042109,VORNADO REALTY TRUST,12,,18287.013,30.4295,1515.012,1439.013,190.986,1541.567,6363.296,926.296,296.147,4.008,482.289,14563.189,0,,10087.12,3147.937,,-1994.499,837.939,1921.302,6732.03,336.283,12700.569,66.5,6798
11228,20191231,2019,VMC,929160109,VULCAN MATERIALS CO,12,1379.326,10648.793,42.4705,271.589,3298.606,132.371,29.996,3172.357,163.973,885.353,9.173,1630.497,8794.214,458.308,535.563,5026.936,617.662,9157.407,2698.133,570.415,4929.103,5621.857,134.051,19060.1003,143.99,1400
11234,20190831,2019,WDFC,929236107,WD-40 CO,8,147.995,302.662,10.6039,27.233,186.124,13.719,21.205,60.221,32.889,82.382,0.495,237.226,205.696,40.682,74.59,157.187,55.908,74.494,341.578,72.864,423.35,145.475,2.541,2500.9737,182.3,2890
11259,20190131,2018,WMT,931142103,WALMART INC,1,61897,219295,25.1897,,374623,2878,7830,50203,6102,19471,2200,137106,129837,44269,77477,139661,6670,198570,69243,6283,511729,72496,2346,275798.74,95.83,5331
11264,20190831,2019,WBA,931427108,WALGREENS BOOTS ALLIANCE INC,8,18700,67598,26.259,1023,104644,895.388,5738,11098,1629,5718,342,32222,35250,9333,25769,43446,3982,24789,31918,7226,136866,23512,704,45834.9117,51.19,5912
11399,20190630,2019,WDC,958102105,WESTERN DIGITAL CORP,6,8477,26370,33.7864,3455,11013,295,276,10246,583,420,61.8,5556,20213,3283,3817,16403,-754,10003,7381,1204,16569,9967,469,14027.25,47.55,3572
11456,20191231,2019,WY,962166104,WEYERHAEUSER CO,12,1611,16406,10.9714,139,4902,745.3,263,6270,1013,704,9.4,1652,14447,416,1006,8229,-76,17906,-907,407,6554,8177,371,22508.06,30.2,2400
11465,20191231,2019,WHR,963320106,WHIRLPOOL CORP,12,7398,18881,50.7998,1952,16332,62.894,1019,4918,308,1367,77,4087,9036,2438,8369,14763,1184,10666,5252,2198,20419,3195,187,9278.7518,147.53,3630
11506,20191231,2019,WMB,969457100,WILLIAMS COS INC,12,1580,46040,10.9967,289,3534,1212,2161,20336,1845,2405,4.812,4667,36700,125,3968,29676,850,41717,-11201,1004,8201,13363,1218,28748.64,23.72,4922
11550,20191231,2019,WEC,92939U106,WEC ENERGY GROUP INC,12,2093.6,34951.8,32.0618,37.5,5065.4,315.435,1528.4,11248,745.7,1531.4,7.509,2457.7,21502.6,549.8,3182.7,24697.2,1135.2,32540.2,5923.6,1176.5,7523.1,10143.8,507.4,29092.5701,92.23,4931
11554,20191231,2019,LNT,18802108,ALLIANT ENERGY CORP,12,875.5,16700.7,21.2433,,2302.8,245.023,996.6,5547,347.9,777.7,3.597,1344.9,10952.1,227.3,2054.1,11295.6,567.4,17688.1,2766.7,402.1,3647.7,5405.1,272.9,13407.6586,54.72,4931
11580,20190930,2019,WWD,980745103,WOODWARD INC,9,1271.228,3956.526,27.982,99.073,1994.234,61.709,220,864.899,39.066,398.021,9.023,905.963,2591.64,516.836,707.436,2229.785,259.602,1672.227,2121.613,599.628,2900.197,1726.741,44.78,6654.0815,107.83,3620
11636,20191231,2019,XRX,98421M106,XEROX HOLDINGS CORP,12,6140,15047,26.4406,2740,4900,212.59,1138,3498,240,1278,27,4166,9306,694,3435,9239,1353,4460,2666,2532,9066,5801,236,7838.1933,36.87,3577
11672,20190131,2018,TJX,872540109,TJX COS INC (THE),1,8469.222,14326.029,4.1478,3030.229,27012.277,1217.183,0,2476.874,965.539,4218.193,270,11960.657,7525.48,4579.033,5531.374,9277.423,3059.798,10729.119,3831.423,346.298,38972.934,5048.606,69.102,60530.5106,49.73,5651
11687,20191231,2019,ZION,989701107,ZIONS BANCORPORATION NA,12,,69172,41.1191,705,450,165.057,2053,1969,260,1198,10.188,2795,9322,137,,61819,816,,4052,48214,3245,7353,,8569.7594,51.92,6020
11745,20191231,2019,QLYS,74758T303,QUALYS INC,12,395.616,675.608,9.881,87.559,38.413,39.146,7.787,44.069,0,74.692,1.289,283.194,430.872,0,223.467,288.805,69.336,224.444,24.356,78.034,321.607,386.803,0.106,3263.602,83.37,7372
11811,20190630,2019,JKHY,426281101,HENRY (JACK) & ASSOCIATES,6,569.448,2184.829,18.5615,93.628,762.397,76.988,0,0,118.745,347.344,6.402,790.294,1429.013,0,469.962,755.816,271.885,660.955,2066.073,349.343,1552.691,1429.013,0.926,10310.233,133.92,7373
11854,20191231,2019,NMIH,629209305,NMI HOLDINGS INC,12,,1364.818,13.611,41.089,132.077,68.358,0,153.166,0,237.395,0.321,246.694,1083.586,0,,434.398,171.957,65.356,222.733,57.855,378.771,930.42,12.085,2268.1184,33.18,6351
11856,20191231,2019,TFC,89832Q109,TRUIST FINANCIAL CORP,12,,473078,45.63,4084,2711,1342.166,24611,37190,1505,5721,59,11971,103748,8496,,406520,3224,,18962,298293,14682,66384,,75590.7891,56.32,6020
11861,20191231,2019,VLY,919794107,VALLEY NATIONAL BANCORP,12,,37436.02,10.3382,256.264,447.17,403.278,1176.698,2404.575,167.377,571.331,3.174,1088.35,6788.763,85.527,,33051.832,309.793,,411.345,29537.449,1535.52,4384.188,,4617.5331,11.45,6020
11896,20191231,2019,FMBI,320867104,FIRST MIDWEST BANCORP INC,12,,17850.397,21.5582,214.894,154.284,109.972,933.515,1120.755,59.15,383.634,2.122,707.334,3491.548,8.75,,15479.604,199.738,,1378.658,12732.308,861.618,2370.793,,2535.9543,23.06,6020
12124,20191231,2019,MS,617446448,MORGAN STANLEY,12,,895429,45.8157,49659,29360,1593.974,186648,174436,2691,21820,60.431,24463,257133,402390,,812732,9042,,67801,293277,53823,81549,10519,81483.9509,51.12,6211
12138,20191231,2019,TROW,74144T108,PRICE (T. ROWE) GROUP,12,,9330.4,30.1942,1858.3,3040.1,235.214,0,146.3,733.6,2387,7.365,2577.8,8369.4,1964,,1107.3,2131.3,1927.6,6400.5,678.4,5617.9,7102.1,,28658.4738,121.84,6282
12141,20190630,2019,MSFT,594918104,MICROSOFT CORP,6,175552,286556,13.3887,11356,31310,7643,7348,79107,14103,42959,144,94533,181437,2063,69420,184226,39240,79186,23810,29524,125843,102330,2686,1023856.28,133.96,7372
12142,20190531,2018,ORCL,68389X105,ORACLE CORP,5,46386,108709,6.4856,20514,6765,3359,4494,51673,2932,13957,136,32741,74036,320,18630,86346,11083,13075,-5124,5910,39506,21785,2082,169965.4,50.6,7370
12151,20190630,2019,COTY,222070203,COTY INC,6,3272.7,17665.4,6.0817,340.4,2914.6,754.2,193.8,7469.9,347.5,596.2,19,5733.9,12515.1,1153.3,3477.1,12620.2,-3784.2,3115.1,-4600,1161.2,8648.5,4586.9,302.5,10106.28,13.4,2844
12171,20190131,2018,TECD,878237106,TECH DATA CORP,1,10692.849,12986.552,79.4998,799.123,34915.302,36.94,110.368,1300.554,0,607.004,14,2323.648,4237.277,3297.385,8606.96,10049.829,340.58,592.237,3130.3,6241.74,37238.95,2936.723,106.725,3532.5722,95.63,5045
12181,20191231,2019,RGEN,759916109,REPLIGEN CORP,12,641.828,1400.113,20.3496,528.392,108.718,52.078,3.557,259.762,0,50.074,0.761,161.527,1319.53,54.832,48.313,340.345,21.411,109.541,-9.184,43.672,270.245,1059.768,9.289,4817.215,92.5,2836
12215,20191231,2019,CY,232806109,CYPRESS SEMICONDUCTOR CORP,12,1102.469,3556.114,5.6352,415.462,1087.805,372.704,27.307,743.72,162.08,140.923,5.871,1117.509,2843.975,297.904,614.954,1455.859,40.428,898.178,-1132.477,321.534,2205.314,2100.255,52.328,8695.1843,23.33,3674
12266,20191231,2019,WERN,950755108,WERNER ENTERPRISES INC,12,466.334,2143.864,16.0446,26.418,2006.345,69.245,78.583,233.153,286.082,207.829,12.736,457.356,1344.161,9.243,308.84,1032.856,166.944,2354.912,1279.88,386.662,2463.701,1111.008,6.854,2519.8256,36.39,4213
12379,20190430,2018,AMWD,30506109,AMERICAN WOODMARK CORP,4,306.035,1529.931,36.8184,57.656,1213.646,16.849,2.286,689.205,0,145.812,9.3,431.673,1309.558,108.528,149.59,909.578,83.688,476.001,267.929,126.91,1645.319,620.353,35.652,1515.2306,89.93,2430
12389,20191231,2019,HOG,412822108,HARLEY-DAVIDSON INC,12,4202.823,10528.159,11.832,833.868,2987.826,152.468,2339.117,5169.273,237.221,808.734,5.6,2373.963,6973.272,603.571,3196.772,8724.16,423.635,3153.959,1657.048,2531.856,5361.789,1803.999,241.516,5670.2849,37.19,3751
12392,20191231,2019,SKYW,830879102,SKYWEST INC,12,760.346,6657.129,43.2211,87.206,2069.738,50.323,458.932,2888.226,24.364,534.127,13.7,902.225,5063.24,110.503,924.676,4482.115,340.099,7729.066,2079.179,94.118,2971.963,2175.014,129.355,3252.3755,64.63,4512
12441,20191231,2019,IT,366651107,GARTNER INC,12,2018.741,7151.294,10.5273,280.836,1550.568,89.158,216.234,2876.421,0,379.55,16.724,2694.753,3815.014,0,2856.534,6212.701,233.29,1338.851,1910.784,1347.362,4245.321,938.593,102.831,13739.2478,154.1,8700
12459,20191231,2019,NVR,62944T105,NVR INC,12,,3809.815,644.4382,1140.585,5829.044,3.633,0,690.806,0,1051.175,5.7,1599.398,3032.05,2253.264,,1468.571,878.539,240.703,7909.872,18.278,7428.442,2341.244,26.463,13835.9535,3808.41,1531
12540,20191130,2019,ADBE,00724F101,ADOBE INC,11,6494.925,20762.4,21.8314,2650.221,1272.564,482.339,3149.343,988.924,0,3268.121,22.634,9898.733,11519.079,0,8190.938,10232.245,2951.458,2861.647,14640.528,1534.809,11171.297,10530.155,157.214,149298.3907,309.53,7370
12625,20191231,2019,MRTN,573075108,MARTEN TRANSPORT LTD,12,154.166,796.586,10.9242,31.461,680.316,54.703,0.529,0.649,42.089,67.818,4.087,162.955,598.238,0,76.326,198.997,61.071,905.415,517.577,103.496,843.271,597.589,0,1175.5675,21.49,4213
12635,20191231,2019,FISV,337738108,FISERV INC,12,17046,77539,48.5057,893,3763,679.9,427,22215,0,1671,44,6424,57072,0,15727,42682,893,3344,12348,2782,10187,32979,267,78616.837,115.63,7374
12726,20191231,2019,UNM,91529Y106,UNUM GROUP,12,,67013.4,49.1039,84.1,10294.9,202.937,399.7,3041.6,231.3,1587.5,10.3,1704.7,13006.6,0,,57048.4,1100.3,1838,10766,13253.1,11999.6,9965,177.4,5917.6429,29.16,6321
12785,20191231,2019,PPC,72147K108,PILGRIM'S PRIDE CORP,12,2598.236,7102.364,10.12,260.568,10051.595,249.572,92.631,2511.411,0,690.484,58.5,1357.624,5047.471,1383.535,1648.155,4566.304,455.924,5712.875,802.683,802.429,11409.219,2525.663,132.63,8164.748,32.715,2015
12825,20190930,2019,JJSF,466032109,J & J SNACK FOODS CORP,9,506.357,1019.339,44.1255,192.395,787.541,18.895,0.339,0.718,37.654,116.956,4.6,398.946,834.469,116.165,121.234,185.588,94.819,676.724,788.007,140.938,1186.487,833.751,,3627.84,192,2050
12840,20191231,2019,HTLD,422347104,HEARTLAND EXPRESS INC,12,151.814,898.931,8.3466,76.684,433.169,82.028,0,0,6.563,63.434,4.05,163.646,684.659,0,63.407,214.272,72.967,739.143,826.666,57.076,596.815,684.659,1.052,1726.6894,21.05,4213
12850,20191231,2019,CERN,156782104,CERNER CORP,12,2096.624,6894.622,13.8861,441.843,697.858,310.911,29.541,1142.996,171.07,858.019,27.4,4994.74,5460.324,23.182,1027.448,2577.294,529.454,3701.472,5816.249,1139.595,5692.598,4317.328,14.469,22817.7583,73.39,7373
12945,20190930,2019,PLXS,729132100,PLEXUS CORP,9,1538.291,2000.883,29.8433,223.761,2820.39,29.004,100.702,187.278,0,143.733,19,344.044,1052.854,700.938,865.503,1135.307,108.616,856.533,1160.893,579.125,3164.434,865.576,12.853,1813.04,62.51,3672
13092,20190930,2019,JACK,466367109,JACK IN THE BOX INC,9,227.128,958.483,-30.2313,125.536,605.257,24.398,0.774,1274.374,41.426,219.912,5.2,344.85,536.79,1.776,157.923,1696.067,94.437,1176.241,1437.028,45.235,950.107,-737.584,59.627,2223.1458,91.12,5812
13125,20191231,2019,PEAK,42250P103,HEALTHPEAK PROPERTIES INC,12,,14032.891,12.0443,144.232,1765.296,505.222,97.132,6411.092,720.123,121.753,0.204,223.462,13078.566,0,,7365.417,45.53,,-3604.056,334.6,1988.758,6085.058,255.728,17415.0023,34.47,6798
13323,20191031,2019,SAFM,800013104,SANDERSON FARMS INC,10,581.111,1774.134,63.8477,95.417,3039.57,22.204,0,55,28.357,61.194,17.055,400.688,1472.675,289.928,215.681,356.459,53.294,2139.333,1309.461,138.835,3440.258,1417.675,4.156,3437.4012,154.81,2015
13341,20191231,2019,PGR,743315103,PROGRESSIVE CORP-OHIO,12,,54895.3,22.5337,226.2,33341.6,584.6,0,4608.6,1575.3,5350,41.571,5656.1,18507.4,0,,40996.5,3970.3,2540,11021.3,11067.5,38997.7,13673.2,189.7,42319.194,72.39,6331
13421,20191231,2019,CDNS,127387108,CADENCE DESIGN SYSTEMS INC,12,1169.343,3357.225,7.5142,,162.106,279.855,25.558,430.801,0,509.399,8.078,2174.213,2533.695,55.802,672.391,1254.331,988.979,1011.374,1724.762,314.755,2336.319,2102.894,18.829,19410.7428,69.36,7372
13480,20191231,2019,EBIX,278715206,EBIX INC,12,363.934,1591.619,18.0413,73.228,202.469,30.492,57.565,705.7,9.193,151.23,7.975,378.146,1305.145,0,234.885,992.174,96.72,87.809,540.105,191.428,580.615,550.114,42.332,1018.7377,33.41,7372
13498,20191130,2019,CCL,143658300,CARNIVAL CORPORATION & PLC,11,2059,45058,37.0833,,12909,684,1827,9676,1379,3285,106,7916,35041,427,9127,19693,2990,56780,24587,598,20825,25365,268,,45.08,4400
13510,20191231,2019,DRE,264411505,DUKE REALTY CORP,12,,8420.562,13.638,110.891,656.295,367.95,0,2961.665,318.702,292.604,0.4,358.811,8041.925,0,,3340.302,428.972,,-511.028,285.3,1015.106,5018.115,116.256,12756.8265,34.67,6798
13570,20191231,2019,MIDD,596278101,MIDDLEBY CORP,12,1209.196,5002.143,34.647,94.5,1751.266,56.19,24.721,1945.264,0,522.583,9.778,1208.18,3892.078,585.699,593.137,3055.329,352.24,646.429,2010.529,470.287,2959.446,1946.814,82.609,6153.9288,109.52,3580
13619,20190331,2018,ABMD,3654100,ABIOMED INC,3,677.197,1054.346,20.763,121.021,115.446,45.123,0,0,0,223.897,1.371,653.986,936.89,80.942,105.998,117.456,259.016,184.705,384.784,90.809,769.432,936.89,0,12886.6776,285.59,3841
13646,20190131,2018,TIF,886547108,TIFFANY & CO,1,3759.5,5333,25.6576,792.6,1395.6,121.5,113.4,883.4,263.8,798.8,14.2,3046.5,4014.3,2428,718.1,2202.1,586.4,2892.2,1840.8,245.4,4442.1,3117.4,39.7,10780.695,88.73,5944
13664,20191231,2019,GLIBA,36164V305,GCI LIBERTY INC,12,727.823,11933.445,58.6456,569.52,285.331,105.745,47.404,3619.53,0,-56.217,2.051,609.402,9829.814,0,395.022,5723.161,1938.698,1556.673,2978.542,114.435,894.733,6201.484,158.003,7506.5011,70.85,4812
13700,20191231,2019,XRAY,24906P109,DENTSPLY SIRONA INC,12,1999.9,8602.9,23.0117,404.9,1510.3,221.3,46,1552.6,83.7,552.5,15.2,2518.9,6647.5,561.7,995.5,3508,262.9,2194.3,804.5,782,4029.2,5092.5,29.4,12523.367,56.59,3843
13709,20191231,2019,IEP,451100101,ICAHN ENTERPRISES LP,12,,24639,25.4859,3794,8280,214.079,1190,8839,112,-1386,28.033,440,19781,1812,,13697,-1098,7831,,1333,8720,5456,605,13165.8585,61.5,9997
13714,20191231,2019,VIAC,92556H206,VIACOMCBS INC,12,11902,49519,21.4748,632,16634,615,1009,19911,600,5108,28.57,11178,33454,,9048,35976,3308,7932,6524,7206,27812,13207,962,25962.35,41.97,4888
13721,20191231,2019,ZTS,98978V103,ZOETIS INC,12,4748,11545,5.6947,1934,1656,475.528,535,6111,330,2113,10.6,4620,8819,1410,1806,8837,1500,3866,3701,1086,6276,2708,236,62936.1308,132.35,2834
13786,20191231,2019,HRTX,427746102,HERON THERAPEUTICS INC,12,479.064,512.782,4.472,71.898,59.575,90.304,7.55,12.242,0,-202.294,0.231,86.393,416.077,24.968,96.705,108.947,-204.749,41.397,-1165.385,39.879,145.968,403.835,1.472,2122.144,23.5,2836
13888,20191231,2019,COOP,62482R107,MR COOPER GROUP INC,12,,18305,24.4957,329,1749,91.118,4784,8560,0,167,9.1,258,10791,4077,,16074,274,288,1122,7953,2007,2232,779,1139.8862,12.51,6162
13988,20191231,2019,SCHW,808513105,SCHWAB (CHARLES) CORP,12,,294005,14.696,29345,6278,1285.725,700,7380,1077,5158,19.7,5507,29125,196846,,272260,3704,4941,20048,42093,11785,21745,285,61149.081,47.56,6282
14172,20191231,2019,FULT,360271100,FULTON FINANCIAL CORP,12,,21886.04,14.2626,132.283,209.742,164.218,883.241,991.377,92.98,423.762,3.5,831.724,3333.553,44.659,,19543.864,226.339,,1079.254,16673.904,1041.466,2342.176,,2862.3197,17.43,6020
14225,20191231,2019,FAST,311900104,FASTENAL CO,12,2457.2,3799.9,4.6429,174.9,2669.6,574.129,100.4,490.2,498.6,1056,21.948,2664.1,3155.8,1366.4,544.7,1134.3,790.9,2210.1,2595.5,741.8,5333.7,2665.6,13.9,21214.0666,36.95,5000
14253,20191231,2019,WABC,957090103,WESTAMERICA BANCORPORATION,12,,5619.555,27.0275,373.421,1.888,27.062,30.928,17.136,43.942,132.475,0.737,203.769,748.553,0.043,,4888.138,80.389,,265.186,1107.18,205.657,731.417,,1833.9917,67.77,6020
14256,20190630,2019,MXIM,57772K101,MAXIM INTEGRATED PRODUCTS,6,2539.5,3743.982,6.7878,1757.342,705.734,271.852,0,992.584,505.576,753.626,7.131,1608.595,2837.86,246.512,371.167,1898.706,827.486,1650.517,1845.004,360.016,2314.329,1845.276,43.543,16262.1866,59.82,3674
14275,20191231,2019,FRC,33616C100,FIRST REPUBLIC BANK,12,,116263.634,51.6312,361.932,877.002,168.621,4750,10337.145,177.159,1841.493,4.812,3279.697,20188.252,23.304,,106412.527,930.329,,4489.506,90300.727,4156.699,9851.107,,19804.5365,117.45,6020
14282,20191231,2019,APH,32095101,AMPHENOL CORP,12,4211.2,10815.5,15.2075,891.2,5313,297.9,457.3,3348.8,285.3,1628.9,74,2912.4,7945,1310.1,2132.7,6219.3,1155,2682.9,2917.5,1736.4,8225.4,4530.3,117.6,32241.717,108.23,3678
14309,20191231,2019,IPAR,458334109,INTER PARFUMS INC,12,573.296,828.832,14.8511,192.417,258.849,31.513,17.682,35.369,36.349,104.727,0.402,454.665,644.367,167.809,184.465,219.834,60.249,67.862,434.784,135.233,713.514,468.004,2.146,2291.3102,72.71,2844
14320,20191231,2019,ICPT,45845P108,INTERCEPT PHARMA INC,12,721.315,754.886,1.5693,70.055,560.766,32.853,6.456,541.3,0,-312.427,0.583,-308.764,592.856,0,162.005,703.33,-344.681,32.153,-2124.61,38.044,252.002,51.556,41.144,4071.1438,123.92,2836
14359,20191231,2019,PXD,723787107,PIONEER NATURAL RESOURCES CO,12,2191,19067,73.2058,631,5782,165.547,602,2565,201,1738,2.323,3889,14684,205,2496,6948,756,25322,4025,1042,9671,12119,126,25058.8494,151.37,1311
14418,20191231,2019,MGM,552953101,MGM RESORTS INTERNATIONAL,12,4007.693,33876.356,15.3578,2329.604,7603.489,503.148,95.448,15514.056,271.288,1394.992,81,5296.183,28282.021,102.888,3191.423,21108.391,2046.433,31260.271,4191.135,1374.884,12899.672,7727.265,853.007,16739.734,33.27,7990
14477,20191231,2019,WM,94106L109,WASTE MANAGEMENT INC,12,6209,27743,16.657,3561,9378,424.326,297,13646,876,2803,44.9,6077,20716,106,3144,20673,1670,31974,10584,2319,15455,7068,485,48356.191,113.96,4953
14561,20190630,2019,IIVI,902104108,II-VI INC,6,812.911,1953.773,17.7864,204.872,748.782,63.712,24.855,466.503,0,168.068,12.487,613.714,1599.712,296.282,270.563,820.564,107.517,1068.994,919.36,269.642,1362.496,1133.209,22.417,2329.3107,36.56,3827
14563,20191231,2019,MERC,588056101,MERCER INTL INC,12,844.697,2065.72,8.3866,351.085,1339.781,65.629,5.866,1129.555,35.279,84.268,2.325,284.63,1679.958,272.599,256.312,1515.317,-9.639,2172.999,139.811,208.74,1624.411,550.403,75.75,807.2367,12.3,2611
14590,20191231,2019,FCX,35671D857,FREEPORT-MCMORAN INC,12,7915,40809,6.408,2020,11528,1451,49,10025,291,889,27.5,3040,27473,4073,3209,23361,-239,73357,-12956,1167,14568,9298,681,19037.12,13.12,1000
14624,20191231,2019,ODP,676220106,OFFICE DEPOT INC,12,3447,7311,4.0603,698,8010,535.182,1214,1783,55,310,40,2637,3956,1032,3094,5138,99,3872,-155,1642,10647,2173,89,1466.3987,2.74,5940
14822,20191231,2019,WRB,84423102,BERKLEY (W R) CORP,12,,26643.428,33.1218,1023.71,6872.582,183.412,341.899,2550.861,308.191,906.42,7.493,960.42,8669.203,0,,20525.086,681.944,,7675.073,4798.398,7833.002,6074.939,153.409,12673.7692,69.1,6331
14824,20191231,2019,CINF,172062101,CINCINNATI FINANCIAL CORP,12,,25408,60.5458,767,5374,162.918,58,827,365,2525,5.148,2550,10691,0,,15544,1997,483,9705,2629,7924,9864,53,17130.8277,105.15,6331
14891,20191231,2019,MGPI,55303J106,MGP INGREDIENTS INC,12,184.206,322.597,13.5682,3.309,274.641,17.028,2.645,44.926,6.854,48.493,0.341,88.104,275.97,136.931,39.295,91.553,38.793,320.448,230.538,41.918,362.745,231.044,1.88,825.0066,48.45,2085
14894,20190331,2018,VOD,92857W308,VODAFONE GROUP PLC,3,44690,160346,25.6449,15307,22858,2723.038,6862,54643,4514,4073,94.442,26152,125853,801,28647,89136,-9002,82662,-97879,11111,49010,69832,2129,,18.18,4812
14934,20191231,2019,DVN,25179M103,DEVON ENERGY CORP,12,3851,13717,15.1885,1464,4009,382,17,4538,140,160,1.8,2211,10458,,1927,7797,-355,30219,3029,832,6220,5802,260,9920.54,25.97,1311
14960,20191231,2019,LH,50540R409,LABORATORY CP OF AMER HLDGS,12,2981.2,18046.4,77.8498,337.5,7980.8,97.2,630.1,6477.5,0,1467.6,65,3574,14064.6,244.7,2655.8,10459.3,823.8,4653,7531.2,2025.3,11554.8,7567,235.7,16443.324,169.17,8071
15044,20190131,2018,WDAY,98138H101,WORKDAY INC,1,2700.596,5520.746,8.8197,638.554,638.95,222.052,232.514,972.264,0,-438.284,10.5,2183.23,2930.706,0,2430.691,3562.304,-418.258,1197.144,-2147.113,704.68,2822.18,1958.442,71.209,40299.66,181.53,7370
15199,20191231,2019,SRCE,336901103,1ST SOURCE CORP,12,,6622.776,32.47,67.215,74.844,25.509,148.652,151.963,28.232,144.496,1.175,309.163,1000.599,20.799,,5774.14,91.96,,468.441,4974.273,384.007,828.277,,1323.4069,51.88,6020
15240,20191231,2019,WWR,961684206,WESTWATER RESOURCES INC,12,2.361,26.979,5.1105,1.87,0.143,3.339,0.153,0.34,0,-10.922,0.028,-0.143,17.404,0,3.669,9.915,-10.565,92.23,-302.439,0,0,17.064,,7.0453,2.11,1090
15247,20191231,2019,VLO,91913Y100,VALERO ENERGY CORP,12,18969,53864,53.27,2583,96504,409.292,825,10137,1492,3843,10.222,6225,32673,7013,13160,31328,2422,45623,30623,8904,102729,21803,544,38330.1958,93.65,2911
15252,20191231,2019,TRS,896215209,TRIMAS CORP,12,434.04,1192.7,15.6515,172.47,500.79,44.563,5.1,317.79,0,92.4,3.5,222.74,1015.27,132.66,119.79,495.22,98.62,458.83,-85.85,108.86,723.53,697.48,13.95,1399.7238,31.41,3460
15267,20191231,2019,IEX,45167R104,IDEX CORP,12,1261.445,3813.912,29.7449,632.581,1289.323,76.088,15.623,918.792,152.497,605.087,7.439,1205.25,3182.021,293.467,357.877,1550.683,425.521,819.718,2487.786,298.186,2494.573,2263.229,44.341,13087.136,172,3561
15363,20191231,2019,TCF,872307103,TCF FINANCIAL CORP,12,,46651.553,36.2022,491.787,363.511,152.966,2984.245,2177.741,166.035,614.162,8.209,1689.282,7904.982,234.042,,40924.312,295.468,,1950.704,34384.412,2052.793,5707.015,,7158.8088,46.8,6020
15414,20190630,2019,TECH,09073M104,BIO-TECHNE CORP,6,412.607,1884.41,30.7268,100.886,187.744,37.934,12.5,492.66,48.366,149.375,2.255,526.262,1658.249,91.05,101.985,718.821,96.072,306.317,848.413,137.466,714.006,1165.589,21.705,7908.8597,208.49,2836
15420,20190131,2018,AMBA,G037AX101,AMBARELLA INC,1,409.589,466.853,12.9857,194.047,82.403,32.304,0,0,0,-40.42,0.75,145.365,419.489,18.252,39.023,47.364,-30.447,18.387,230.958,26.212,227.768,419.489,0,1227.552,38,3674
15539,20191231,2019,PRTK,699374302,PARATEK PHARMACEUTCLS INC,12,243.354,251.079,-0.9955,102.302,131.673,39.828,0.957,262.823,0,-115.629,0.102,-115.129,223.176,11.579,24.2,290.726,-128.79,6.077,-711.184,9.583,16.544,-39.647,16.403,160.5068,4.03,2834
15855,20190331,2018,NLOK,668771108,NORTONLIFELOCK INC,3,3186,15938,9.1079,1791,642,630,491,3961,197,624,11.923,4089,9699,0,3766,10200,31,2109,926,777,4731,5738,208,14483.7,22.99,7372
